10:41:52.322 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - <init>:54 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4a3b412b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4609adb2, org.springframework.security.web.context.SecurityContextHolderFilter@663c9c12, org.springframework.security.web.header.HeaderWriterFilter@14f628d3, org.springframework.security.web.authentication.logout.LogoutFilter@3f266315, nex.vts.backend.filter.JwtAuthFilter@297a91b2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23d876de, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6cd62c6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5d5f3c1e, org.springframework.security.web.session.SessionManagementFilter@510d4073, org.springframework.security.web.access.ExceptionTranslationFilter@181bb75c, org.springframework.security.web.access.intercept.AuthorizationFilter@329e0ed8]
10:41:52.443 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - startServer:59 - LiveReload server is running on port 35729
10:41:52.454 [restartedMain] DEBUG nex.vts.backend.filter.JwtAuthFilter - init:240 - Filter 'jwtAuthFilter' configured for use
10:41:52.455 [restartedMain] INFO  o.e.j.server.handler.ContextHandler.application - log:2349 - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:41:52.455 [restartedMain] INFO  org.springframework.web.servlet.DispatcherServlet - initServletBean:532 - Initializing Servlet 'dispatcherServlet'
10:41:52.455 [restartedMain] INFO  org.springframework.web.servlet.DispatcherServlet - initServletBean:554 - Completed initialization in 0 ms
10:41:52.460 [restartedMain] INFO  org.eclipse.jetty.server.AbstractConnector - doStart:376 - Started ServerConnector@46b95b0d{HTTP/1.1, (http/1.1)}{0.0.0.0:8009}
10:41:52.461 [restartedMain] INFO  o.s.boot.web.embedded.jetty.JettyWebServer - start:171 - Jetty started on port(s) 8009 (http/1.1) with context path '/'
10:41:52.464 [restartedMain] INFO  nex.vts.backend.VtsBackendApplication - logStarted:57 - Started VtsBackendApplication in 1.157 seconds (process running for 93.637)
10:41:52.467 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - onApplicationEvent:63 - Condition evaluation unchanged
10:45:13.223 [SpringApplicationShutdownHook] INFO  org.eclipse.jetty.server.Server - doStop:479 - Stopped Server@42d761b0{STOPPING}[11.0.13,sto=0]
10:45:13.225 [SpringApplicationShutdownHook] INFO  org.eclipse.jetty.server.AbstractConnector - doStop:431 - Stopped ServerConnector@46b95b0d{HTTP/1.1, (http/1.1)}{0.0.0.0:8009}
10:45:13.226 [SpringApplicationShutdownHook] INFO  o.e.j.server.handler.ContextHandler.application - log:2349 - Destroying Spring FrameworkServlet 'dispatcherServlet'
10:45:13.226 [SpringApplicationShutdownHook] INFO  org.eclipse.jetty.server.handler.ContextHandler - doStop:1122 - Stopped o.s.b.w.e.j.JettyEmbeddedWebAppContext@50bd7006{application,/,[file:///C:/Users/obydu/AppData/Local/Temp/jetty-docbase.8009.7089569098357390807/],STOPPED}
10:45:13.230 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - close:350 - HikariPool-2 - Shutdown initiated...
10:45:13.279 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - close:352 - HikariPool-2 - Shutdown completed.
